frame,timestamp,type,name,x_norm,y_norm,z_norm,visibility,x_px,y_px,dx_px,dy_px,distance_px,speed_px_per_sec,angle_deg
14,0.5833,keypoint,left_knee,0.593148,0.855985,-0.087251,0.986599,240,616,0,1,1.0000,24.0000,
14,0.5833,keypoint,right_knee,0.506712,0.858609,-0.036756,0.971244,205,618,0,0,0.0000,0.0000,
14,0.5833,keypoint,left_ankle,0.586525,0.960365,0.194217,0.959923,238,691,1,1,1.4142,33.9411,
14,0.5833,keypoint,right_ankle,0.519159,0.962951,0.223750,0.922784,210,693,1,0,1.0000,24.0000,
14,0.5833,angle,left_elbow,,,,,,,,,,,76.2615
14,0.5833,angle,right_elbow,,,,,,,,,,,32.8423
14,0.5833,angle,left_knee,,,,,,,,,,,175.8991
14,0.5833,angle,right_knee,,,,,,,,,,,179.3667
15,0.6250,keypoint,nose,0.548083,0.535690,-0.094271,0.997997,222,385,0,0,0.0000,0.0000,
15,0.6250,keypoint,left_shoulder,0.609058,0.584310,0.150366,0.999810,247,420,0,0,0.0000,0.0000,
15,0.6250,keypoint,right_shoulder,0.480983,0.584810,0.149090,0.996893,195,421,0,1,1.0000,24.0000,
15,0.6250,keypoint,left_elbow,0.618523,0.652969,0.010125,0.931840,251,470,1,0,1.0000,24.0000,
15,0.6250,keypoint,right_elbow,0.512639,0.625667,-0.078768,0.796821,208,450,1,0,1.0000,24.0000,
15,0.6250,keypoint,left_wrist,0.510794,0.643033,-0.126677,0.858093,207,462,1,0,1.0000,24.0000,
15,0.6250,keypoint,right_wrist,0.529037,0.566991,-0.358559,0.808591,214,408,-1,-1,1.4142,33.9411,
15,0.6250,keypoint,left_hip,0.583413,0.732570,-0.001070,0.998967,236,527,0,0,0.0000,0.0000,
15,0.6250,keypoint,right_hip,0.489813,0.733964,0.001662,0.997966,198,528,0,0,0.0000,0.0000,
15,0.6250,keypoint,left_knee,0.593121,0.856726,-0.088406,0.986686,240,616,0,0,0.0000,0.0000,
15,0.6250,keypoint,right_knee,0.506752,0.858677,-0.036811,0.970788,205,618,0,0,0.0000,0.0000,
